Key,cap-edit,cap-retrieve,e2e-instruct
nigeria_clothing_wrapper,5,5,5
united-states_vegetable_brussels-sprout,5,5,5
brazil_sport_capoeira,5,5,2
japan_visual-arts_manga,5,2,5
united-states_food_fried-chicken,5,5,5
united-states_education_state-school,5,5,5
japan_celebrations_oshōgatsu,2,5,5
brazil_food_churrasco,5,5,5
japan_flower_hydrangea-macrophylla,5,5,5
japan_mammal_yezo-sika-deer,5,5,1
nigeria_utensil_mortar-and-pestle,5,5,5
japan_celebrations_coming-of-age-day,5,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,5,5
nigeria_visual-arts_bronze-work,5,5,5
united-states_music_jazz,5,5,5
portugal_fruit_apple,2,5,2
portugal_visual-arts_escultura,1,3,5
united-states_celebrations_christmas,4,2,4
brazil_fruit_guava,5,5,5
united-states_bird_american-robin,5,5,5
turkey_flower_hyacinth,5,5,5
turkey_celebrations_ramadan,5,5,5
portugal_celebrations_carnaval-de-podence,5,5,5
brazil_religion_protestantism-in-brazil,5,5,5
japan_sport_karate,5,5,5
portugal_agriculture_floricultura,5,5,5
japan_sport_kendō,5,1,5
united-states_visual-arts_mural-painting,5,5,5
portugal_agriculture_vindima,5,5,5
turkey_bird_crow,5,5,5
nigeria_music_traditional-flute-player,1,5,5
united-states_sport_american-football,5,5,5
brazil_bird_great-kiskadee,5,1,5
turkey_clothing_turkish-salvar,5,5,5
portugal_beverages_port-wine,5,5,5
brazil_education_escola,5,5,5
japan_houses_danchi,5,5,2
nigeria_houses_aso-villa,5,3,5
japan_food_miso-soup,5,5,5
japan_music_shamisen,5,5,5
portugal_fruit_orange,5,5,5
nigeria_fruit_pineapple,5,5,5
united-states_mammal_raccoon,5,1,5
portugal_religion_nossa-senhora-de-fatima,5,5,5
brazil_houses_colonial-architecture-of-brazil,5,5,5
portugal_flower_orquídea,5,5,5
turkey_mammal_angora-goat,5,1,5
japan_religion_butsuzō,5,5,5
turkey_music_qanun,5,5,2
brazil_beverages_cachaça,5,5,5
brazil_vegetable_okra,5,5,5
turkey_flower_begonia,5,5,2
brazil_agriculture_soybean,5,5,2
nigeria_agriculture_poultry-farming,5,5,5
brazil_music_bossa-nova,5,5,5
japan_clothing_kimono,5,5,5
japan_sport_judo,5,5,5
turkey_religion_alevism,5,5,5
brazil_agriculture_sugarcane,2,5,5
turkey_visual-arts_calligraphy,5,5,5
nigeria_clothing_boubou,5,5,5
brazil_education_federal-university-of-rio-de-janeiro,5,5,5
turkey_clothing_tesettür,5,5,5
united-states_religion_christianity,5,5,5
turkey_houses_mosque,5,5,5
nigeria_bird_duck,5,5,5
nigeria_religion_hinduism-in-nigeria,5,5,5
nigeria_education_igbo-apprentice-system,5,5,5
japan_fruit_kyoho,5,5,5
nigeria_beverages_kunu,5,5,5
nigeria_visual-arts_pottery,1,5,5
brazil_bird_sabiá-laranjeira,5,5,1
nigeria_music_jazz,5,5,5
united-states_religion_judaism,5,5,5
brazil_flower_bromelia,5,5,5
japan_houses_shinto-shrine,5,5,5
brazil_clothing_flip-flops,5,5,5
turkey_agriculture_tobacco-farming,5,5,5
brazil_bird_green-headed-tanager,5,2,5
turkey_clothing_fez,5,5,5
nigeria_utensil_cutting-board,5,5,1
turkey_music_ottoman-music,5,5,5
united-states_celebrations_halloween,5,5,5
japan_religion_tera,5,5,5
japan_education_vocational-school,5,5,5
united-states_visual-arts_abstract-expressionism,3,5,5
nigeria_beverages_chapman,5,5,5
turkey_utensil_sieve,5,5,3
united-states_music_rock,5,5,5
portugal_vegetable_pumpkin,5,5,5
turkey_fruit_cherry,5,5,5
nigeria_bird_ostrich,2,5,5
brazil_visual-arts_brazilian-street-art,5,5,5
united-states_sport_basketball,5,5,5
united-states_education_projector,5,5,5
portugal_utensil_wooden-spoon,5,1,5
japan_vegetable_daikon,5,5,5
turkey_food_i̇çli-pide,5,5,5
brazil_celebrations_festa-junina,5,5,5
united-states_flower_lilium,5,5,5
japan_vegetable_renkon,5,5,4
nigeria_flower_aloe-vera,5,5,4
portugal_visual-arts_portuguese-pavement,5,5,3
portugal_food_pastel-de-nata,5,5,5
portugal_beverages_espresso,5,5,5
united-states_agriculture_cotton,5,5,5
japan_education_sotsugyōshiki,3,5,5
japan_agriculture_poultry-farming,5,5,5
united-states_education_kahoot,4,4,4
japan_sport_sumo,5,5,5
brazil_food_brigadeiro,5,5,5
brazil_houses_sobrado,5,2,5
united-states_houses_california-bungalow,5,5,5
nigeria_food_amala-and-ewedu,5,5,5
nigeria_fruit_mango,5,5,5
brazil_celebrations_congada,5,5,5
united-states_music_pop-music,5,5,5
united-states_fruit_banana,3,5,5
united-states_mammal_white-tailed-deer,5,5,5
japan_utensil_donabe,5,5,5
portugal_flower_dianthus-caryophyllus,5,5,5
portugal_vegetable_zucchini,5,5,5
turkey_flower_bellis-perennis,5,1,5
brazil_beverages_sugarcane-juice,5,5,5
nigeria_music_afrobeat,5,1,1
portugal_flower_girassol,5,5,5
japan_education_shukudai,5,5,5
portugal_clothing_ribeira,5,5,4
united-states_houses_townhouse,1,5,5
brazil_mammal_giant-anteater,5,5,5
nigeria_flower_orchid,5,1,5
portugal_bird_gull,5,5,1
japan_sport_yakyū,5,5,5
nigeria_mammal_aardvark,5,1,5
nigeria_vegetable_garden-egg,5,5,5
turkey_visual-arts_paper-marbling,5,5,5
turkey_music_anatolian-rock,5,5,4
portugal_mammal_estrela-mountain-dog,5,5,5
united-states_sport_volleyball,4,5,5
turkey_sport_volleyball,5,4,5
turkey_education_imam-hatip-high-school,5,5,5
united-states_food_apple-pie,4,5,5
turkey_vegetable_tomato,5,1,5
brazil_agriculture_coffee,5,5,5
united-states_celebrations_thanksgiving,5,5,5
brazil_beverages_caipirinha,5,5,5
portugal_music_kizomba,5,1,5
united-states_vegetable_kale,5,1,5
nigeria_houses_koutammakou,5,5,5
nigeria_mammal_greater-cane-rat,1,5,5
japan_agriculture_pig-farming,5,5,5
brazil_clothing_sleeveless-shirt,5,5,5
portugal_sport_tennis,5,5,5
portugal_education_cartilha-maternal,5,5,5
brazil_visual-arts_tropicália,1,5,5
nigeria_education_university-of-port-harcourt,4,5,5
turkey_celebrations_republic-day,5,5,5
portugal_education_computer,5,5,5
brazil_utensil_squeegee,5,5,1
portugal_sport_association-football,5,5,5
nigeria_utensil_sieve,5,5,5
turkey_beverages_rakı,5,5,5
turkey_visual-arts_anatolian-rug,1,5,5
portugal_fruit_peach,5,1,5
japan_bird_crow,5,5,5
turkey_education_karma-eğitim,5,5,5
japan_vegetable_wasabi,5,5,5
turkey_vegetable_zucchini,5,5,5
japan_fruit_peach,5,5,5
turkey_education_cram-school,5,5,5
united-states_clothing_jeans,5,5,5
brazil_visual-arts_modernism-in-brazil,5,1,1
portugal_food_francesinha,5,5,5
united-states_visual-arts_street-art,5,5,5
portugal_education_blackboard,5,5,5
united-states_beverages_coca-cola,1,5,5
portugal_mammal_porco,5,1,5
brazil_bird_tucano,1,5,5
japan_bird_kiji,5,5,1
nigeria_flower_ixora,5,5,5
turkey_fruit_watermelon,5,3,5
brazil_celebrations_independence-day,5,1,5
portugal_vegetable_lettuce,5,5,5
brazil_clothing_shorts,5,5,1
nigeria_education_computer-classes,5,5,5
united-states_clothing_suit,5,1,5
turkey_beverages_boza,5,5,5
portugal_clothing_camisola-poveira,5,5,5
portugal_clothing_capote-alentejano,5,5,5
japan_utensil_suribachi,5,5,5
turkey_fruit_plum,5,5,5
brazil_mammal_jaguar,5,5,5
nigeria_houses_igbo-architecture,5,5,5
nigeria_vegetable_cabbage,5,5,5
turkey_fruit_fig,5,5,5
nigeria_bird_guineafowl,5,5,5
portugal_religion_orthodoxy,5,5,5
united-states_music_bluegrass,5,5,5
japan_visual-arts_origami,5,1,5
united-states_fruit_blueberry,5,5,5
brazil_music_forró,5,5,5
nigeria_sport_running,5,5,4
nigeria_celebrations_ofala-festival,5,4,5
japan_houses_minka,5,1,5
united-states_education_blended-learning,5,5,5
nigeria_agriculture_fish-farming,5,5,5
turkey_mammal_red-fox,1,5,5
turkey_visual-arts_graffiti,5,5,5
united-states_celebrations_independence-day,5,5,5
brazil_fruit_pineapple,5,5,5
united-states_religion_evangelicalism,5,5,5
united-states_flower_rose,5,5,5
united-states_houses_prairie-school,5,5,5
united-states_flower_common-sunflower,5,1,5
brazil_clothing_bikini,5,5,1
japan_fruit_kaki,5,5,5
united-states_visual-arts_art-of-the-american-southwest,5,1,5
brazil_flower_cattleya,5,5,1
portugal_music_cavaquinho,5,1,5
portugal_bird_carrion-crow,1,5,5
brazil_food_pão-de-queijo,5,5,1
united-states_utensil_spoon,5,5,5
brazil_visual-arts_barroco-no-brasil,5,5,5
united-states_agriculture_tobacco,5,5,5
turkey_vegetable_green-bean,5,5,5
brazil_flower_jacaranda,5,5,5
portugal_houses_aldeias-do-xisto,5,5,5
portugal_vegetable_beterraba,5,5,2
nigeria_beverages_palm-wine,1,5,5
brazil_mammal_maned-wolf,4,4,5
japan_music_gagaku,5,5,5
united-states_flower_narcissus,5,5,5
turkey_mammal_roe-deer,5,5,3
nigeria_mammal_chimpanzee,5,5,5
japan_agriculture_稲作,5,5,5
japan_flower_prunus-mume,1,5,5
turkey_bird_greater-flamingo,5,5,5
turkey_bird_mallard,5,5,5
united-states_bird_american-crow,1,5,5
turkey_mammal_angora-cat,5,5,5
nigeria_sport_football,5,5,5
nigeria_mammal_african-forest-elephant,5,5,5
japan_vegetable_shiitake,5,5,2
turkey_agriculture_wheat,5,5,2
turkey_fruit_apple,5,3,5
japan_visual-arts_ukiyo-e,5,5,5
brazil_clothing_havaianas,5,5,5
japan_clothing_hakama,5,5,3
brazil_flower_heliconia,4,5,5
united-states_utensil_fork,5,1,1
japan_education_kosha,5,5,1
turkey_education_boğaziçi-university,5,5,5
japan_religion_torii,5,5,5
united-states_bird_mourning-dove,5,5,5
japan_food_tempura,5,4,5
united-states_clothing_sneakers,5,5,5
nigeria_fruit_udala,1,5,5
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,5,3,5
brazil_music_frevo,5,5,2
japan_agriculture_fishery,5,4,5
brazil_vegetable_potato,5,1,5
united-states_beverages_beer,5,5,5
turkey_houses_konak,5,5,5
japan_visual-arts_shodō,4,5,5
portugal_houses_casas-típicas-de-santana,5,3,5
nigeria_religion_islam,5,1,1
turkey_vegetable_eggplant,1,2,5
turkey_religion_turbe,5,5,2
portugal_bird_common-blackbird,5,5,1
turkey_bird_domestic-pigeon,5,5,5
brazil_religion_umbanda,5,5,4
turkey_bird_gull,5,2,5
portugal_flower_magnolia,5,1,5
japan_houses_kinkaku-ji,5,5,5
brazil_mammal_capybara,5,5,5
japan_visual-arts_ink-wash-painting,5,5,5
nigeria_education_morning-assembly-at-a-primary-school,5,5,5
nigeria_religion_christianity,5,5,5
nigeria_beverages_roselle-juice,5,5,4
portugal_sport_handball,5,3,5
portugal_beverages_ginjinha,5,5,5
brazil_food_feijoada,5,5,5
united-states_mammal_cougar,5,5,5
portugal_education_queima-das-fitas,4,5,5
brazil_sport_futsal,5,5,5
united-states_vegetable_broccoli,5,4,4
portugal_bird_house-sparrow,1,5,5
portugal_music_fado-de-lisboa,1,5,5
united-states_sport_golf,5,5,5
portugal_utensil_almofariz,5,1,5
portugal_celebrations_noite-branca,5,4,5
nigeria_food_akara,5,5,5
nigeria_houses_residential-estate,5,5,5
turkey_sport_football,5,5,5
japan_fruit_watermelon,4,5,5
turkey_religion_deism,5,5,2
brazil_education_kwl-table,5,5,5
turkey_vegetable_cucumber,5,3,5
japan_fruit_citrus-unshiu,5,5,5
japan_houses_buddhist-temples-in-japan,5,5,5
turkey_clothing_kaftan,5,5,5
turkey_sport_wrestling,1,5,5
portugal_vegetable_potato,5,4,4
portugal_bird_rock-dove,5,1,5
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,5,5,3
united-states_agriculture_maize,5,3,5
turkey_education_quran-course,5,5,5
japan_clothing_hanten,5,5,1
turkey_sport_basketball,5,3,3
brazil_music_música-popular-brasileira,5,5,5
brazil_vegetable_pumpkin,5,5,5
portugal_food_cozido-à-portuguesa,5,5,5
japan_mammal_common-raccoon-dog,5,5,1
brazil_religion_catholic-church,5,5,5
nigeria_fruit_banana,5,5,5
united-states_houses_ranch-style-house,5,5,5
brazil_education_national-high-school-exam,5,5,5
turkey_religion_christianity,5,5,4
brazil_food_coxinha,5,5,4
portugal_visual-arts_azulejo,5,5,1
portugal_utensil_nutcracker,5,5,5
nigeria_clothing_isiagu,5,2,5
nigeria_bird_owl,5,5,5
portugal_mammal_red-squirrel,1,5,5
portugal_flower_bellis-annua,5,3,5
