src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
brazil_sport_futevôlei,instruct,plugnplay,retrieval,17,0.19409838318824768,0.18595664203166962,0.998004674911499,0.19409838318824768,0.18489967286586761,0.9625986218452454,0.19409838318824768,0.19242122769355774,0.8397560119628906
united-states_utensil_spoon,plugnplay,retrieval,instruct,18,0.20152005553245544,0.20938654243946075,0.9921764731407166,0.20152005553245544,0.1625078171491623,0.885504961013794,0.20152005553245544,0.16544567048549652,0.681172251701355
portugal_flower_crane-flower,instruct,plugnplay,retrieval,19,0.12166814506053925,0.1431606560945511,0.9872426390647888,0.12166814506053925,0.14148056507110596,0.9562105536460876,0.12166814506053925,0.1912914216518402,0.7876511812210083
portugal_vegetable_butternut-squash,instruct,plugnplay,retrieval,20,0.158762127161026,0.22829705476760864,0.7943823337554932,0.158762127161026,0.1533011943101883,0.9490535259246826,0.158762127161026,0.21830052137374878,0.7023732662200928
united-states_beverages_coffee,retrieval,plugnplay,instruct,21,0.13101202249526978,0.2206369936466217,0.9552041292190552,0.13101202249526978,0.12994027137756348,0.9117331504821777,0.13101202249526978,0.1741102635860443,0.759406328201294
india_utensil_chakla-belan,retrieval,instruct,plugnplay,22,0.16786706447601318,0.16272446513175964,0.8194354772567749,0.16786706447601318,0.1835596114397049,0.9636967182159424,0.16786706447601318,0.22266247868537903,0.7984741926193237
nigeria_religion_christianity,retrieval,plugnplay,instruct,23,0.06429622322320938,0.06728936731815338,0.9981701374053955,0.06429622322320938,0.12944425642490387,0.9823285341262817,0.06429622322320938,0.15955165028572083,0.876664936542511
portugal_sport_surf,instruct,retrieval,plugnplay,24,0.13936986029148102,0.12884999811649323,0.9935289025306702,0.13936986029148102,0.13646641373634338,0.9097369909286499,0.13936986029148102,0.15398749709129333,0.7443141937255859
turkey_Fruit_Quince,instruct,retrieval,plugnplay,25,0.1262223720550537,0.12581059336662292,0.9982793927192688,0.1262223720550537,0.1516975611448288,0.9656668901443481,0.1262223720550537,0.22734969854354858,0.6788915395736694
turkey_Vegetable_Okra,instruct,retrieval,plugnplay,26,0.1498304158449173,0.14568772912025452,0.9985924959182739,0.1498304158449173,0.130166158080101,0.9499726295471191,0.1498304158449173,0.15732882916927338,0.7635674476623535
india_utensil_pressure-cooker,retrieval,instruct,plugnplay,27,0.15886114537715912,0.16308194398880005,0.9970262050628662,0.15886114537715912,0.13840611279010773,0.9194819927215576,0.15886114537715912,0.22600921988487244,0.6744033694267273
portugal_music_tuna-academica,plugnplay,retrieval,instruct,28,0.16377606987953186,0.19857649505138397,0.8767845034599304,0.16377606987953186,0.1546991467475891,0.955795407295227,0.16377606987953186,0.09851915389299393,0.8748828172683716
india_utensil_masala-dabba,instruct,plugnplay,retrieval,29,0.144989013671875,0.1335281878709793,0.9685655832290649,0.144989013671875,0.14721088111400604,0.9468450546264648,0.144989013671875,0.14495155215263367,0.8174569606781006
united-states_visual arts_sculpture,retrieval,plugnplay,instruct,30,0.15665973722934723,0.15362070500850677,0.9974534511566162,0.15665973722934723,0.15085014700889587,0.9424751996994019,0.15665973722934723,0.08537006378173828,0.7219454646110535
nigeria_agriculture_poultry-farming,plugnplay,instruct,retrieval,31,0.1143966019153595,0.17773288488388062,0.963545024394989,0.1143966019153595,0.14871801435947418,0.911142110824585,0.1143966019153595,0.1638878583908081,0.6733715534210205
india_music_veena,plugnplay,instruct,retrieval,32,0.11579424142837524,0.234259694814682,0.6825742125511169,0.11579424142837524,0.1629871279001236,0.8834139108657837,0.11579424142837524,0.16124790906906128,0.630059003829956
india_bird_crow,instruct,plugnplay,retrieval,33,0.16567444801330566,0.16221928596496582,0.9975481033325195,0.16567444801330566,0.1518576294183731,0.962969183921814,0.16567444801330566,0.1703280210494995,0.63578861951828
nigeria_agriculture_nomadic-herding,instruct,retrieval,plugnplay,34,0.10474934428930283,0.15818078815937042,0.8994036912918091,0.10474934428930283,0.1734713762998581,0.9481590986251831,0.10474934428930283,0.15761403739452362,0.8519288301467896
india_agriculture_wheat-farming,plugnplay,instruct,retrieval,35,0.11175401508808136,0.11078018695116043,0.9948903322219849,0.11175401508808136,0.12393086403608322,0.9551606178283691,0.11175401508808136,0.1345180720090866,0.7989094853401184
turkey_Houses_Odunpazarı Houses,plugnplay,retrieval,instruct,36,0.08250987529754639,0.08028537780046463,0.9956724047660828,0.08250987529754639,0.13804326951503754,0.9684368371963501,0.08250987529754639,0.18061590194702148,0.8831194639205933
japan_visual arts_yayoi-kusama-(artist),plugnplay,instruct,retrieval,37,0.14187008142471313,0.15181946754455566,0.9941227436065674,0.14187008142471313,0.15034577250480652,0.9451490640640259,0.14187008142471313,0.158400297164917,0.6424160003662109
india_religion_gurudwara,instruct,retrieval,plugnplay,38,0.09011740237474442,0.09105639159679413,0.9872175455093384,0.09011740237474442,0.09717036783695221,0.9766413569450378,0.09011740237474442,0.20634040236473083,0.8383526802062988
japan_beverages_matcha-(green-tea),plugnplay,instruct,retrieval,39,0.11360224336385727,0.11426576226949692,0.9642195105552673,0.11360224336385727,0.14349034428596497,0.9297344088554382,0.11360224336385727,0.11777455359697342,0.8364293575286865
brazil_education_universidade-federal-de-são-carlos,retrieval,instruct,plugnplay,40,0.15510119497776031,0.19520477950572968,0.9127981662750244,0.15510119497776031,0.1484607309103012,0.9163298606872559,0.15510119497776031,0.09325980395078659,0.8575190305709839
portugal_celebrations_romaria-de-nossa-senhora-d'agonía,plugnplay,retrieval,instruct,41,0.15408605337142944,0.1590796858072281,0.9936325550079346,0.15408605337142944,0.16710807383060455,0.9573851823806763,0.15408605337142944,0.18881374597549438,0.8780183792114258
united-states_beverages_iced-tea,retrieval,plugnplay,instruct,42,0.12103110551834106,0.1204378604888916,0.9568438529968262,0.12103110551834106,0.11759880185127258,0.9807805418968201,0.12103110551834106,0.1604665219783783,0.6281648874282837
turkey_Religion_Turbe,instruct,plugnplay,retrieval,43,0.10162453353404999,0.09566300362348557,0.9946665167808533,0.10162453353404999,0.14132478833198547,0.9253808259963989,0.10162453353404999,0.20634040236473083,0.7853604555130005
turkey_Utensil-Tool_Cezve,retrieval,instruct,plugnplay,44,0.14599400758743286,0.15194924175739288,0.9974126815795898,0.14599400758743286,0.13579878211021423,0.907849907875061,0.14599400758743286,0.12090903520584106,0.8193269968032837
united-states_vegetable_corn,plugnplay,instruct,retrieval,45,0.18570160865783691,0.19885435700416565,0.9099302291870117,0.18570160865783691,0.16716334223747253,0.9287089109420776,0.18570160865783691,0.1945018172264099,0.8385299444198608
japan_utensil_ohashi-(chopsticks),plugnplay,retrieval,instruct,46,0.1341455727815628,0.15947599709033966,0.7756931185722351,0.1341455727815628,0.13513348996639252,0.8165993690490723,0.1341455727815628,0.23450328409671783,0.6905904412269592
nigeria_houses_bungalow,plugnplay,instruct,retrieval,47,0.0794014185667038,0.08039744198322296,0.9967082738876343,0.0794014260172844,0.1488632708787918,0.9553409814834595,0.0794014111161232,0.1588779240846634,0.9357733130455017
nigeria_beverages_guniness-stout,plugnplay,retrieval,instruct,48,0.14944568276405334,0.14001452922821045,0.9948607683181763,0.14944568276405334,0.15555043518543243,0.9621847867965698,0.14944568276405334,0.20386037230491638,0.8274609446525574
portugal_food_bacalhau-à-brás,instruct,plugnplay,retrieval,49,0.12794183194637299,0.19590739905834198,0.7502268552780151,0.12794183194637299,0.13381870090961456,0.9651423692703247,0.12794183194637299,0.12803572416305542,0.8264355063438416
brazil_religion_racionalismo-cristão,retrieval,instruct,plugnplay,50,0.2256445586681366,0.23344086110591888,0.9982329607009888,0.22564458847045898,0.1652921736240387,0.9625060558319092,0.22564487159252167,0.13771457970142365,0.8606209754943848
united-states_flower_daisy,retrieval,instruct,plugnplay,51,0.1457391083240509,0.13407115638256073,0.9302135705947876,0.1457391083240509,0.15266738831996918,0.9822339415550232,0.1457391083240509,0.1713765412569046,0.7920804619789124
nigeria_vegetable_garden-egg,retrieval,instruct,plugnplay,52,0.11030159890651703,0.13070502877235413,0.9196105003356934,0.11030159890651703,0.15118719637393951,0.9715924263000488,0.11030159890651703,0.16981808841228485,0.7459930777549744
united-states_education_middle-school,instruct,retrieval,plugnplay,53,0.09487458318471909,0.1487104445695877,0.963683009147644,0.09487458318471909,0.14775912463665009,0.9752044677734375,0.09487458318471909,0.16378730535507202,0.8923999071121216
united-states_bird_robin,retrieval,instruct,plugnplay,54,0.13259199261665344,0.1341174989938736,0.9694511890411377,0.13259199261665344,0.1429917961359024,0.9610598087310791,0.13259199261665344,0.1713765412569046,0.7531605362892151
nigeria_houses_residential-estate,retrieval,plugnplay,instruct,55,0.06397007405757904,0.07020173966884613,0.9922890067100525,0.06397007405757904,0.0860852301120758,0.9816889762878418,0.06397007405757904,0.17628931999206543,0.8816616535186768
turkey_Flower_Cyclamen,retrieval,instruct,plugnplay,56,0.0844896212220192,0.08496948331594467,0.9987092018127441,0.0844896212220192,0.09491952508687973,0.9607990980148315,0.0844896212220192,0.11713294684886932,0.8804428577423096
india_visual arts_madhubani-painting,retrieval,plugnplay,instruct,57,0.12473293393850327,0.1341235637664795,0.9963626265525818,0.12473294138908386,0.17757654190063477,0.8849583864212036,0.12473289668560028,0.14290300011634827,0.8173307180404663
nigeria_utensil_fork,plugnplay,retrieval,instruct,58,0.17721904814243317,0.24019812047481537,0.8071313500404358,0.17721904814243317,0.1653451919555664,0.8253133893013,0.17721904814243317,0.17157496511936188,0.7341231107711792
japan_agriculture_tanbo-(rice-field),retrieval,instruct,plugnplay,59,0.15059319138526917,0.13112811744213104,0.9221347570419312,0.15059319138526917,0.16119849681854248,0.8482756614685059,0.15059319138526917,0.18673881888389587,0.8247483968734741
turkey_Bird_Owl,retrieval,plugnplay,instruct,60,0.14739221334457397,0.2002900242805481,0.9904301166534424,0.14739221334457397,0.16382019221782684,0.9608525037765503,0.14739221334457397,0.14222580194473267,0.779808521270752
united-states_education_college,plugnplay,instruct,retrieval,61,0.11318499594926834,0.10870078206062317,0.9910184144973755,0.11318499594926834,0.1275545060634613,0.9620893597602844,0.11318499594926834,0.14051033556461334,0.8691091537475586
brazil_houses_casa-de-pau-a-pique,instruct,retrieval,plugnplay,62,0.20428256690502167,0.18315789103507996,0.9508057236671448,0.20428256690502167,0.18891394138336182,0.9534645676612854,0.20428256690502167,0.1990583837032318,0.8727717399597168
nigeria_utensil_mortar-and-pestle,plugnplay,retrieval,instruct,63,0.15172459185123444,0.13872681558132172,0.9395326972007751,0.15172459185123444,0.1434551328420639,0.9763273596763611,0.15172459185123444,0.17285755276679993,0.7106629610061646
japan_houses_kotatsu-(heated-table),instruct,plugnplay,retrieval,64,0.14553168416023254,0.15329676866531372,0.9975525736808777,0.14553168416023254,0.1472071409225464,0.8879749178886414,0.14553168416023254,0.20827482640743256,0.7271239757537842
japan_celebrations_oshōgatsu-(new-year),instruct,retrieval,plugnplay,65,0.10997241735458374,0.10287508368492126,0.9960278272628784,0.10997241735458374,0.1353086233139038,0.9350823163986206,0.10997241735458374,0.19900095462799072,0.8833729028701782
portugal_houses_granite-houses,plugnplay,instruct,retrieval,66,0.0979778841137886,0.07153909653425217,0.9976005554199219,0.0979778841137886,0.16971392929553986,0.9541464447975159,0.0979778841137886,0.15475040674209595,0.84454745054245
india_beverages_nimbu-paani,retrieval,plugnplay,instruct,67,0.15638160705566406,0.17363959550857544,0.9407967329025269,0.15638160705566406,0.17952199280261993,0.9539365768432617,0.15638160705566406,0.1604665219783783,0.653365969657898
united-states_sport_american-football,plugnplay,retrieval,instruct,68,0.13560041785240173,0.11932997405529022,0.9976903200149536,0.13560041785240173,0.15922489762306213,0.9072849750518799,0.13560041785240173,0.18667463958263397,0.7412750720977783
india_houses_urban-housing,instruct,plugnplay,retrieval,69,0.0854816660284996,0.10845012962818146,0.9812880754470825,0.0854816660284996,0.14746402204036713,0.9378635287284851,0.0854816660284996,0.20943309366703033,0.8370643258094788
india_houses_bungalows,retrieval,plugnplay,instruct,70,0.1371314525604248,0.1284511536359787,0.9966785311698914,0.1371314525604248,0.18883293867111206,0.968201756477356,0.1371314525604248,0.20454683899879456,0.8155442476272583
brazil_celebrations_carnaval,plugnplay,retrieval,instruct,71,0.20644643902778625,0.1989457607269287,0.9953521490097046,0.20644643902778625,0.14892399311065674,0.9079989194869995,0.20644643902778625,0.10792678594589233,0.890357494354248
japan_fruit_mikan-(mandarin-orange),instruct,retrieval,plugnplay,72,0.18381480872631073,0.17949749529361725,0.8713726997375488,0.18381480872631073,0.16873839497566223,0.9715248346328735,0.18381480872631073,0.1990583837032318,0.8075624704360962
united-states_food_apple-pie,retrieval,instruct,plugnplay,73,0.09927710890769958,0.11647865921258926,0.9672877788543701,0.09927710890769958,0.13550563156604767,0.9524616003036499,0.09927710890769958,0.1703951060771942,0.899812638759613
japan_clothing_salaryman,retrieval,instruct,plugnplay,74,0.13349999487400055,0.1384475827217102,0.997967004776001,0.13349999487400055,0.20473988354206085,0.8859050869941711,0.13349999487400055,0.23647722601890564,0.8576208353042603
nigeria_agriculture_farm-ploughing,instruct,plugnplay,retrieval,75,0.10444372892379761,0.12428265064954758,0.9622835516929626,0.10444372892379761,0.1372290700674057,0.8760601878166199,0.10444372892379761,0.14053910970687866,0.8261553049087524
nigeria_beverages_star,retrieval,plugnplay,instruct,76,0.13103915750980377,0.23493970930576324,0.8122317790985107,0.13103915750980377,0.166484534740448,0.9589584469795227,0.13103915750980377,0.19724391400814056,0.8219041228294373
turkey_Mammal_Turkish Van Cat,plugnplay,instruct,retrieval,77,0.15118207037448883,0.1524098962545395,0.9793882966041565,0.15118207037448883,0.15089575946331024,0.9461105465888977,0.15118207037448883,0.14016488194465637,0.8263179063796997
india_vegetable_green-beans,plugnplay,retrieval,instruct,78,0.15834151208400726,0.16187290847301483,0.998670220375061,0.15834151208400726,0.1595795899629593,0.9787044525146484,0.15834151208400726,0.15853692591190338,0.6454944014549255
united-states_sport_basketball,retrieval,instruct,plugnplay,79,0.15527120232582092,0.17938445508480072,0.9861607551574707,0.15527120232582092,0.17602398991584778,0.9669927954673767,0.15527120232582092,0.15136189758777618,0.8669217824935913
turkey_Education_Kara Tahta,retrieval,plugnplay,instruct,80,0.1074642613530159,0.1058947816491127,0.9959741830825806,0.1074642613530159,0.12553231418132782,0.9279857277870178,0.1074642613530159,0.10932003706693649,0.8097546696662903
india_religion_thiruvanathapuram-temple,retrieval,instruct,plugnplay,81,0.07172589749097824,0.14521491527557373,0.8888450860977173,0.07172589749097824,0.1413332223892212,0.9423918724060059,0.07172589749097824,0.12240159511566162,0.8774598836898804
turkey_Fruit_Plum,plugnplay,instruct,retrieval,82,0.10662321746349335,0.16594205796718597,0.8914122581481934,0.10662321746349335,0.13521431386470795,0.9238936901092529,0.10662321746349335,0.12726858258247375,0.7684257626533508
india_fruit_mango,instruct,retrieval,plugnplay,83,0.1662524938583374,0.18159335851669312,0.9983716011047363,0.1662524938583374,0.19119374454021454,0.951126217842102,0.1662524938583374,0.22167810797691345,0.7306069135665894
turkey_Mammal_Angora Goat,retrieval,instruct,plugnplay,84,0.14780795574188232,0.14020095765590668,0.9935713410377502,0.14780795574188232,0.15378867089748383,0.9454728364944458,0.14780795574188232,0.19632859528064728,0.7706528902053833
nigeria_education_university--entrance-gate,instruct,retrieval,plugnplay,85,0.06587991118431091,0.060192786157131195,0.9965188503265381,0.06587991118431091,0.08780830353498459,0.9786565899848938,0.06587991118431091,0.09816233813762665,0.8008010387420654
turkey_Religion_Djemevi,instruct,plugnplay,retrieval,86,0.09393611550331116,0.10642373561859131,0.9948983192443848,0.09393611550331116,0.10422752797603607,0.9643863439559937,0.09393611550331116,0.12297594547271729,0.8781794309616089
united-states_fruit_concord-grapes,plugnplay,instruct,retrieval,87,0.12397308647632599,0.11255494505167007,0.984119176864624,0.12397308647632599,0.12216167151927948,0.9528228044509888,0.12397308647632599,0.142567977309227,0.6982938051223755
turkey_Vegetable_Spinach,instruct,plugnplay,retrieval,88,0.12171763926744461,0.12191169708967209,0.9800564050674438,0.12171763926744461,0.16837318241596222,0.9371083974838257,0.12171763926744461,0.15334266424179077,0.8118101358413696
portugal_utensil_fishing-nets,plugnplay,retrieval,instruct,89,0.12138509005308151,0.13096261024475098,0.9361925721168518,0.12138509005308151,0.13571882247924805,0.9420556426048279,0.12138509005308151,0.16927188634872437,0.7949937582015991
turkey_Agriculture_Hazelnut Farming,plugnplay,retrieval,instruct,90,0.12539637088775635,0.13076497614383698,0.9713873863220215,0.12539637088775635,0.11170341074466705,0.9185070991516113,0.12539637088775635,0.13361282646656036,0.7953241467475891
portugal_utensil_arraiolos-rug,instruct,plugnplay,retrieval,91,0.15703241527080536,0.1480284184217453,0.9956653714179993,0.15703241527080536,0.13380225002765656,0.9230817556381226,0.15703241527080536,0.12052491307258606,0.7583147287368774
brazil_education_universidade-estadual-paulista-júlio-de-mesquita-filho,plugnplay,instruct,retrieval,92,0.14646713435649872,0.15926170349121094,0.9975550770759583,0.14646713435649872,0.16583304107189178,0.9751602411270142,0.14646713435649872,0.20896342396736145,0.8074320554733276
japan_houses_kawarayane-(tiled-roof),plugnplay,retrieval,instruct,93,0.10182202607393265,0.09729865193367004,0.9958887696266174,0.10182202607393265,0.12039775401353836,0.9579185843467712,0.10182202607393265,0.10139991343021393,0.9015576839447021
turkey_Beverages_Ayran,plugnplay,retrieval,instruct,94,0.1527276188135147,0.16353552043437958,0.9370083808898926,0.1527276188135147,0.166982039809227,0.9421326518058777,0.1527276188135147,0.1601812243461609,0.7617550492286682
brazil_beverages_caipirinha,retrieval,instruct,plugnplay,95,0.1707807034254074,0.16933874785900116,0.9971718788146973,0.1707807034254074,0.20449253916740417,0.935043215751648,0.1707807034254074,0.1604665219783783,0.622276782989502
portugal_visual arts_azulejo,plugnplay,instruct,retrieval,96,0.18573585152626038,0.15140685439109802,0.9108518362045288,0.18573585152626038,0.17264916002750397,0.9644559025764465,0.18573585152626038,0.12077508866786957,0.8141055107116699
india_education_iim-mba,retrieval,instruct,plugnplay,97,0.06566391885280609,0.06667663156986237,0.9961645603179932,0.06566391885280609,0.11486155539751053,0.9338514804840088,0.06566391885280609,0.16959694027900696,0.8254510164260864
nigeria_agriculture_fish-framing,plugnplay,retrieval,instruct,98,0.10270879417657852,0.1512516587972641,0.9434953927993774,0.10270879417657852,0.15260373055934906,0.9423572421073914,0.10270879417657852,0.12180475890636444,0.8261735439300537
brazil_flower_bromélia,instruct,plugnplay,retrieval,99,0.13206718862056732,0.15754735469818115,0.8370064496994019,0.13206718862056732,0.11651723086833954,0.9688125848770142,0.13206718862056732,0.13772085309028625,0.8512258529663086
japan_visual arts_doraemon-(character),retrieval,instruct,plugnplay,100,0.16714158654212952,0.20308494567871094,0.834766685962677,0.16714158654212952,0.17148824036121368,0.9910534024238586,0.16714158654212952,0.1416396051645279,0.8831184506416321
brazil_food_brigadeiro,plugnplay,retrieval,instruct,101,0.2078174203634262,0.20050208270549774,0.9795486927032471,0.2078174203634262,0.19282859563827515,0.9631867408752441,0.2078174203634262,0.21663782000541687,0.7273283004760742
turkey_Bird_Seagull,plugnplay,retrieval,instruct,102,0.15794450044631958,0.1637335568666458,0.9943283796310425,0.15794450044631958,0.13527517020702362,0.9676372408866882,0.15794450044631958,0.06406448036432266,0.8000715970993042
turkey_Agriculture_Cotton Farming,plugnplay,instruct,retrieval,103,0.11862489581108093,0.1414063721895218,0.9566115736961365,0.11862489581108093,0.13179275393486023,0.8964951038360596,0.11862489581108093,0.1493908315896988,0.8164424300193787
nigeria_agriculture_corn-farm,retrieval,plugnplay,instruct,104,0.08500271290540695,0.19080330431461334,0.9381412267684937,0.08500271290540695,0.13178232312202454,0.9103245735168457,0.08500271290540695,0.18673881888389587,0.8553656339645386
brazil_houses_oca-indígena,plugnplay,instruct,retrieval,105,0.1602022498846054,0.14713154733181,0.9727663993835449,0.1602022647857666,0.13855256140232086,0.9354013204574585,0.16020235419273376,0.128579780459404,0.7967812418937683
nigeria_utensil_pan,plugnplay,instruct,retrieval,106,0.18966630101203918,0.19433331489562988,0.765709638595581,0.18966630101203918,0.173424631357193,0.8767932653427124,0.18966630101203918,0.12438545376062393,0.7620710134506226
japan_bird_uguisu-(japanese-bush-warbler),instruct,plugnplay,retrieval,107,0.13593485951423645,0.12431449443101883,0.9975154995918274,0.13593485951423645,0.17198114097118378,0.8842437267303467,0.13593485951423645,0.19153475761413574,0.7019100189208984
united-states_vegetable_lettuce,retrieval,plugnplay,instruct,108,0.17157259583473206,0.2308003306388855,0.8496427536010742,0.17157259583473206,0.16642726957798004,0.9271748065948486,0.17157259583473206,0.14256344735622406,0.7965935468673706
turkey_Sports_Arda Turan,instruct,retrieval,plugnplay,109,0.09826107323169708,0.10801557451486588,0.9834226369857788,0.09826107323169708,0.1784510761499405,0.967265784740448,0.09826107323169708,0.1831652671098709,0.8904233574867249
japan_food_gyudon-(beef-bowl),instruct,retrieval,plugnplay,110,0.08715034276247025,0.17370736598968506,0.9712836742401123,0.08715034276247025,0.14814332127571106,0.9621943235397339,0.08715034276247025,0.195834219455719,0.9080848693847656
india_bird_eagle,instruct,plugnplay,retrieval,111,0.13431592285633087,0.20877933502197266,0.726102352142334,0.13431592285633087,0.14768055081367493,0.9407449960708618,0.13431592285633087,0.20246580243110657,0.7944133281707764
japan_education_gakkō-seifuku-(school-uniform),plugnplay,instruct,retrieval,112,0.1395137459039688,0.14370201528072357,0.9983153343200684,0.1395137459039688,0.15903997421264648,0.9701143503189087,0.1395137459039688,0.15200066566467285,0.9023149609565735
japan_houses_machiya-(traditional-townhouse),retrieval,plugnplay,instruct,113,0.09052818268537521,0.09000366181135178,0.9975625276565552,0.09052818268537521,0.20277410745620728,0.9477592706680298,0.09052818268537521,0.1990583837032318,0.918309211730957
brazil_sport_jiu-jitsu-brasileiro,instruct,plugnplay,retrieval,114,0.17626038193702698,0.2168615758419037,0.9007543325424194,0.17626038193702698,0.18897420167922974,0.9766541719436646,0.17626038193702698,0.174563467502594,0.8786920309066772
india_education_midday-meal-scheme,retrieval,plugnplay,instruct,115,0.10366395860910416,0.07931894063949585,0.9985451698303223,0.10366395860910416,0.14573591947555542,0.9652479290962219,0.10366395860910416,0.16668835282325745,0.9126153588294983
turkey_Music_Tarkan,retrieval,instruct,plugnplay,116,0.10123705863952637,0.11941651999950409,0.9943694472312927,0.10123705863952637,0.12590505182743073,0.9722433090209961,0.10123705863952637,0.15521252155303955,0.8055533170700073
portugal_beverages_wine,instruct,plugnplay,retrieval,117,0.12052062898874283,0.21138501167297363,0.8619095087051392,0.12052062898874283,0.13754475116729736,0.9478635787963867,0.12052062898874283,0.19401481747627258,0.7219724655151367
turkey_Clothing_Ghutra,instruct,retrieval,plugnplay,118,0.11752704530954361,0.10943002998828888,0.9972951412200928,0.11752704530954361,0.12398777902126312,0.9531160593032837,0.11752704530954361,0.16026464104652405,0.811533510684967
portugal_clothing_bordado-de-viana,retrieval,instruct,plugnplay,119,0.1459576040506363,0.1741265058517456,0.9033735990524292,0.1459576040506363,0.15283749997615814,0.9339241981506348,0.1459576040506363,0.10128742456436157,0.7820358276367188
united-states_bird_pigeon,instruct,plugnplay,retrieval,120,0.15756140649318695,0.1741832047700882,0.9526215195655823,0.15756140649318695,0.15870392322540283,0.8564527034759521,0.15756140649318695,0.17501071095466614,0.8107409477233887
