id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
10,ncert-fill-6,instruct,plugnplay,retrieval,0.14438442885875702,0.1678607314825058,0.8735216856002808,0.1443844586610794,0.138290137052536,0.9739247560501099,0.14438439905643463,0.17733877897262573,0.8785427808761597
11,ncert-larger-5,retrieval,instruct,plugnplay,0.16674162447452545,0.23099499940872192,0.7020081281661987,0.16674162447452545,0.161689892411232,0.9833739995956421,0.16674162447452545,0.09902516007423401,0.7889788746833801
12,ncert-count-objects-5,retrieval,plugnplay,instruct,0.15626102685928345,0.18114322423934937,0.9448891878128052,0.15626102685928345,0.17929138243198395,0.956632673740387,0.15626102685928345,0.19892504811286926,0.8414254784584045
13,k5-belong-3,instruct,retrieval,plugnplay,0.12809842824935913,0.15680266916751862,0.8408718109130859,0.12809842824935913,0.17146562039852142,0.9619345664978027,0.12809842824935913,0.16104856133460999,0.8671947717666626
14,ncert-match-2,instruct,plugnplay,retrieval,0.13181015849113464,0.20792672038078308,0.933617353439331,0.13181015849113464,0.14853547513484955,0.9876590967178345,0.13181015849113464,0.22246471047401428,0.9041317105293274
15,k5-analyse-11,retrieval,instruct,plugnplay,0.1940573751926422,0.2045149803161621,0.8184518814086914,0.1940573751926422,0.19778700172901154,0.9543049335479736,0.1940573751926422,0.17774571478366852,0.7809348106384277
16,k5-sort-1,plugnplay,retrieval,instruct,0.15402615070343018,0.1396392583847046,0.9258273243904114,0.15402615070343018,0.15056031942367554,0.932185173034668,0.15402615070343018,0.17104457318782806,0.8373425602912903
17,k5-count-9,instruct,plugnplay,retrieval,0.13943266868591309,0.17889389395713806,0.8915101885795593,0.13943266868591309,0.13842760026454926,0.9701427221298218,0.13943266868591309,0.2034715712070465,0.8288888931274414
18,ncert-fill-5,instruct,plugnplay,retrieval,0.18170510232448578,0.18392455577850342,0.9954036474227905,0.1817050576210022,0.1964748352766037,0.9173130989074707,0.1817050725221634,0.21320050954818726,0.777787446975708
19,ncert-roll-1,plugnplay,instruct,retrieval,0.1540759652853012,0.16072696447372437,0.7283965945243835,0.1540759652853012,0.16160529851913452,0.9581913948059082,0.1540759652853012,0.18786939978599548,0.9042230844497681
20,k5-sort_data-4,instruct,plugnplay,retrieval,0.142968088388443,0.18120446801185608,0.9488757848739624,0.142968088388443,0.13368608057498932,0.9748135805130005,0.142968088388443,0.18786939978599548,0.8624556660652161
21,k5-count-8,retrieval,instruct,plugnplay,0.13557381927967072,0.2588842809200287,0.9236783981323242,0.13557381927967072,0.16523490846157074,0.9727139472961426,0.13557381927967072,0.17104457318782806,0.8924019932746887
22,k5-count-3,instruct,retrieval,plugnplay,0.147500142455101,0.2173686921596527,0.9192588329315186,0.147500142455101,0.14795538783073425,0.9670479893684387,0.147500142455101,0.18844014406204224,0.8605014085769653
23,k5-analyse-1,instruct,plugnplay,retrieval,0.16330236196517944,0.2635052800178528,0.8881665468215942,0.16330236196517944,0.15803584456443787,0.9470424652099609,0.16330236196517944,0.13292239606380463,0.819510817527771
24,k5-sort_count-3,plugnplay,retrieval,instruct,0.14859294891357422,0.17230190336704254,0.9146304130554199,0.14859294891357422,0.18048788607120514,0.9690964818000793,0.14859294891357422,0.17933744192123413,0.8502919673919678
25,k5-sort_count-4,retrieval,instruct,plugnplay,0.16104288399219513,0.2065657377243042,0.9305331707000732,0.16104288399219513,0.1241304874420166,0.9702204465866089,0.16104288399219513,0.19077011942863464,0.9050337076187134
26,k5-analyse-10,plugnplay,retrieval,instruct,0.17499154806137085,0.20563562214374542,0.899997353553772,0.17499154806137085,0.1773378998041153,0.9893195033073425,0.17499154806137085,0.2236853539943695,0.8523200750350952
27,k5-belong-2,plugnplay,instruct,retrieval,0.12677720189094543,0.15509828925132751,0.9471173286437988,0.12677720189094543,0.10067640990018845,0.9692040085792542,0.12677720189094543,0.21364229917526245,0.7264189720153809
28,k5-sort_count-6,retrieval,instruct,plugnplay,0.14814548194408417,0.1749633550643921,0.909725546836853,0.14814548194408417,0.1481483429670334,0.9883533716201782,0.14814548194408417,0.16514182090759277,0.9143233299255371
29,ncert-liquid-2,instruct,plugnplay,retrieval,0.16088250279426575,0.2654975354671478,0.894819974899292,0.16088250279426575,0.17364618182182312,0.9764596223831177,0.16088250279426575,0.2236853539943695,0.8135687112808228
30,ncert-match-3,retrieval,plugnplay,instruct,0.1517956703901291,0.26758095622062683,0.9270604252815247,0.1517956703901291,0.14819788932800293,0.94890296459198,0.1517956703901291,0.20017144083976746,0.7859910726547241
31,ncert-larger-4,instruct,plugnplay,retrieval,0.16205941140651703,0.22272630035877228,0.8802707195281982,0.16205941140651703,0.1849600225687027,0.9797539710998535,0.16205941140651703,0.21264725923538208,0.6466339826583862
32,ncert-calculate-1,instruct,plugnplay,retrieval,0.15956777334213257,0.14681008458137512,0.9752961993217468,0.15956777334213257,0.17397360503673553,0.9645252823829651,0.15956777334213257,0.21601001918315887,0.824687123298645
33,k5-count-12,retrieval,plugnplay,instruct,0.13728606700897217,0.16771143674850464,0.9519884586334229,0.13728606700897217,0.12352696061134338,0.9649699926376343,0.13728606700897217,0.17267316579818726,0.8817001581192017
34,k5-analyse-7,instruct,retrieval,plugnplay,0.19208168983459473,0.2007054090499878,0.8931563496589661,0.19208168983459473,0.1836046725511551,0.9742125272750854,0.19208168983459473,0.22246471047401428,0.8599095940589905
35,ncert-standing-1,instruct,retrieval,plugnplay,0.1880394071340561,0.22990451753139496,0.8011130690574646,0.18803930282592773,0.15248043835163116,0.9144513607025146,0.18803928792476654,0.2008322775363922,0.8566951155662537
36,ncert-liquid-1,plugnplay,instruct,retrieval,0.15495210886001587,0.17872214317321777,0.7895363569259644,0.15495210886001587,0.19046907126903534,0.9652376174926758,0.15495210886001587,0.2236853539943695,0.8146985769271851
37,ncert-fill-2,retrieval,instruct,plugnplay,0.17700035870075226,0.21927757561206818,0.9237669706344604,0.17700035870075226,0.17505155503749847,0.9716651439666748,,,
38,k5-analyse-4,plugnplay,retrieval,instruct,0.15660279989242554,0.22430486977100372,0.9645702242851257,0.15660279989242554,0.14904023706912994,0.9888632297515869,0.15660279989242554,0.149674192070961,0.9164255857467651
39,k5-analyse-2,plugnplay,instruct,retrieval,0.18534009158611298,0.22503720223903656,0.8255823850631714,0.18534009158611298,0.16548585891723633,0.9587209224700928,0.18534009158611298,0.13905936479568481,0.916822075843811
40,ncert-subtract-1,plugnplay,retrieval,instruct,0.1788637340068817,0.2180292159318924,0.8040515184402466,0.1788637340068817,0.13439229130744934,0.9571905136108398,0.1788637340068817,0.17070992290973663,0.8832748532295227
41,k5-belong-6,retrieval,plugnplay,instruct,0.15489749610424042,0.18401098251342773,0.8791792392730713,0.15489749610424042,0.1541837453842163,0.9784514307975769,0.15489749610424042,0.19892504811286926,0.8421893119812012
42,k5-count-2,retrieval,plugnplay,instruct,0.1579504758119583,0.21834777295589447,0.9077658653259277,0.1579504758119583,0.15321020781993866,0.9415967464447021,0.1579504758119583,0.17581334710121155,0.7979578375816345
43,k5-count-6,retrieval,instruct,plugnplay,0.17018115520477295,0.166953444480896,0.9456074237823486,0.17018115520477295,0.1777675747871399,0.9528733491897583,0.17018115520477295,0.19444742798805237,0.7678688764572144
44,k5-count-4,instruct,retrieval,plugnplay,0.11774912476539612,0.2245136946439743,0.9122250080108643,0.11774912476539612,0.14883825182914734,0.962034285068512,0.11774912476539612,0.1903490126132965,0.85872882604599
45,ncert-fill-1,plugnplay,retrieval,instruct,0.15277129411697388,0.1892646998167038,0.8951215744018555,0.15277129411697388,0.14511322975158691,0.9846236705780029,0.15277129411697388,0.13550592958927155,0.6935774683952332
46,k5-count-11,retrieval,instruct,plugnplay,0.10934526473283768,0.10908760130405426,0.9618907570838928,0.10934526473283768,0.15279580652713776,0.9746781587600708,0.10934526473283768,0.19216373562812805,0.8801958560943604
47,k5-analyse-9,instruct,retrieval,plugnplay,0.17620214819908142,0.19108867645263672,0.9541727304458618,0.17620214819908142,0.20121470093727112,0.9819645881652832,0.17620214819908142,0.2236853539943695,0.8728518486022949
48,ncert-currency-3,plugnplay,retrieval,instruct,0.13014835119247437,0.20764029026031494,0.9465903043746948,0.13014835119247437,0.13276571035385132,0.9675230979919434,0.13014835119247437,0.22606444358825684,0.7450067400932312
49,ncert-larger-3,instruct,plugnplay,retrieval,0.13805383443832397,0.19204126298427582,0.8878467082977295,0.13805383443832397,0.13968750834465027,0.9836109280586243,0.13805383443832397,0.1420181840658188,0.8677968978881836
50,k5-count-1,retrieval,plugnplay,instruct,0.16218160092830658,0.18239320814609528,0.8215140104293823,0.16218160092830658,,0.7531962394714355,0.16218160092830658,0.1739799976348877,0.7105725407600403
51,ncert-thinner-2,retrieval,instruct,plugnplay,0.1603594869375229,0.24990710616111755,0.8589606285095215,0.1603594869375229,0.15146225690841675,0.9711605310440063,0.1603594869375229,0.2058357298374176,0.8577461242675781
52,k5-sort_count-2,plugnplay,retrieval,instruct,0.138916015625,0.2064378708600998,0.8824156522750854,0.138916015625,0.14884521067142487,0.9312714338302612,0.138916015625,0.2236853539943695,0.8870288133621216
53,k5-sort_count-5,plugnplay,instruct,retrieval,0.1447649449110031,0.23068131506443024,0.8986700773239136,0.1447649449110031,0.1292991042137146,0.98207688331604,0.1447649449110031,0.19149410724639893,0.8283720016479492
54,ncert-fill-4,instruct,plugnplay,retrieval,0.11998803913593292,0.21240860223770142,0.9006307125091553,0.11998806148767471,0.11581147462129593,0.9753046631813049,0.11998806148767471,0.1730463206768036,0.8394397497177124
55,ncert-thinner-1,plugnplay,instruct,retrieval,0.17142918705940247,0.16903820633888245,0.9211288690567017,0.17142918705940247,0.1464119255542755,0.9809127449989319,0.17142918705940247,0.17774571478366852,0.7797622680664062
56,ncert-count-objects-6,instruct,retrieval,plugnplay,0.16768372058868408,0.18051503598690033,0.945558488368988,0.1676837056875229,0.18855538964271545,0.9562099575996399,0.1676836907863617,0.20828524231910706,0.7157586812973022
57,k5-belong-5,retrieval,instruct,plugnplay,0.1337098926305771,0.15328596532344818,0.9602826237678528,0.1337098926305771,0.14284592866897583,0.9737873077392578,0.1337098926305771,0.1570519506931305,0.7584620714187622
58,k5-sort_count-1,plugnplay,instruct,retrieval,0.16144652664661407,0.1764734983444214,0.9530863165855408,0.16144652664661407,0.13009269535541534,0.96607506275177,0.16144652664661407,0.17267316579818726,0.8697315454483032
59,ncert-larger-1,plugnplay,retrieval,instruct,0.15971265733242035,0.24114492535591125,0.8721944093704224,0.15971265733242035,0.1633286476135254,0.9346292018890381,0.15971265733242035,0.13103213906288147,0.8663603663444519
60,k5-sort_data-1,retrieval,instruct,plugnplay,0.16180655360221863,0.2714998126029968,0.8750582933425903,0.16180655360221863,0.17238105833530426,0.9574398994445801,0.16180655360221863,0.26803192496299744,0.829758882522583
61,k5-count-5,plugnplay,retrieval,instruct,0.1333145946264267,0.18936114013195038,0.8744289875030518,0.1333145946264267,0.16223247349262238,0.9583882093429565,0.1333145946264267,0.1903490126132965,0.8679803609848022
62,ncert-match-1,instruct,retrieval,plugnplay,0.14955173432826996,0.22056831419467926,0.8846879005432129,0.14955173432826996,0.1711704283952713,0.9447817802429199,0.14955173432826996,0.24021771550178528,0.6691237688064575
63,ncert-currency-1,instruct,retrieval,plugnplay,0.12127682566642761,0.13236820697784424,0.9978662729263306,0.12127682566642761,0.14897918701171875,0.9685389995574951,0.12127682566642761,0.13103213906288147,0.8514826893806458
64,k5-belong-4,instruct,retrieval,plugnplay,0.12858620285987854,0.20775583386421204,0.9232164621353149,0.12858620285987854,0.14115279912948608,0.9790346026420593,0.12858620285987854,0.15289698541164398,0.7679226398468018
65,ncert-count-objects-3,retrieval,plugnplay,instruct,0.17873747646808624,0.18600082397460938,0.703460693359375,0.17873747646808624,0.19561854004859924,0.9467495679855347,0.17873747646808624,0.19149410724639893,0.8415618538856506
